subject,tutorial,completion_time,experiment
1,A,555,2
2,B,522,2
3,B,560,2
4,B,545,2
5,B,540,2
6,B,541,2
7,B,545,2
8,B,545,2
9,A,549,2
10,A,554,2
11,B,548,2
12,B,549,2
13,B,529,2
14,B,550,2
15,A,544,2
16,A,550,2
17,B,539,2
18,B,546,2
19,A,548,2
20,B,536,2
21,B,531,2
22,A,558,2
23,A,547,2
24,A,539,2
25,A,557,2
26,B,542,2
27,B,553,2
28,B,555,2
29,A,547,2
30,B,547,2
31,B,553,2
32,A,546,2
33,B,558,2
34,A,550,2
35,B,542,2
36,A,550,2
37,B,539,2
38,B,533,2
39,A,553,2
40,A,548,2
41,A,552,2
42,A,547,2
43,B,555,2
44,B,543,2
45,A,548,2
46,A,547,2
47,B,551,2
48,B,543,2
49,A,549,2
50,A,549,2
51,B,541,2
52,A,543,2
53,B,562,2
54,A,550,2
55,B,552,2
56,B,533,2
57,B,540,2
58,B,550,2
59,A,557,2
60,A,558,2
61,A,555,2
62,A,550,2
63,A,548,2
64,A,555,2
65,B,534,2
66,B,526,2
67,A,550,2
68,B,560,2
69,A,556,2
70,A,543,2
71,A,560,2
72,A,547,2
73,B,540,2
74,B,549,2
75,A,543,2
76,B,544,2
77,A,549,2
78,A,554,2
79,B,532,2
80,B,531,2
81,B,542,2
82,B,540,2
83,A,546,2
84,A,557,2
85,A,552,2
86,B,535,2
87,B,535,2
88,A,541,2
89,A,558,2
90,B,536,2
91,A,544,2
92,A,545,2
93,B,551,2
94,A,539,2
95,A,549,2
96,B,535,2
97,B,536,2
98,A,552,2
99,B,542,2
100,B,544,2
101,A,549,2
102,B,548,2
103,A,548,2
104,A,538,2
105,B,562,2
106,B,544,2
107,B,552,2
108,B,543,2
109,B,548,2
110,A,556,2
111,A,550,2
112,A,550,2
113,A,551,2
114,A,545,2
115,B,531,2
116,A,551,2
117,A,551,2
118,B,541,2
119,B,544,2
120,B,552,2
121,A,552,2
122,A,541,2
123,A,551,2
124,A,551,2
125,A,545,2
126,A,561,2
127,B,554,2
128,B,546,2
129,B,552,2
130,B,555,2
131,A,553,2
132,B,557,2
133,A,559,2
134,B,544,2
135,B,544,2
136,A,548,2
137,B,561,2
138,A,558,2
139,A,547,2
140,B,537,2
141,B,553,2
142,B,555,2
143,B,536,2
144,B,557,2
145,A,558,2
146,A,543,2
147,A,551,2
148,A,559,2
149,A,557,2
150,B,539,2
151,A,552,2
152,A,542,2
153,B,547,2
154,B,554,2
155,B,556,2
156,A,555,2
157,A,565,2
158,A,540,2
159,A,547,2
160,B,543,2
161,B,559,2
162,A,548,2
163,A,541,2
164,B,535,2
165,B,550,2
166,A,552,2
167,A,554,2
168,B,541,2
169,A,548,2
170,B,537,2
171,B,547,2
172,B,537,2
173,B,536,2
174,A,551,2
175,B,549,2
176,A,553,2
177,A,550,2
178,B,544,2
179,A,548,2
180,B,531,2
181,B,539,2
182,B,552,2
183,A,555,2
184,B,550,2
