subject,tutorial,completion_time,experiment
1,A,679,1
2,B,568,1
3,B,607,1
4,A,590,1
5,B,451,1
6,A,601,1
7,A,567,1
8,B,436,1
9,B,434,1
10,A,598,1
11,B,527,1
12,B,427,1
13,A,540,1
14,A,510,1
15,B,566,1
16,A,604,1
17,A,562,1
18,A,511,1
19,B,478,1
20,B,583,1
21,B,620,1
22,B,459,1
23,B,557,1
24,A,532,1
25,A,592,1
26,A,540,1
27,B,569,1
28,B,596,1
29,B,660,1
30,B,543,1
31,B,637,1
32,B,582,1
33,A,670,1
34,B,529,1
35,B,532,1
36,B,534,1
37,A,517,1
38,A,574,1
39,A,507,1
40,A,581,1
41,B,493,1
42,B,517,1
43,A,543,1
44,A,567,1
45,B,662,1
46,A,517,1
47,A,458,1
48,A,527,1
49,A,562,1
50,A,553,1
51,B,486,1
52,A,530,1
53,B,444,1
54,B,540,1
55,A,609,1
56,B,476,1
57,A,593,1
58,B,413,1
59,A,565,1
60,B,517,1
61,A,529,1
62,B,507,1
63,A,583,1
64,B,545,1
65,A,561,1
66,B,426,1
67,B,487,1
68,B,475,1
69,A,571,1
70,B,614,1
71,A,529,1
72,B,424,1
73,B,761,1
74,B,499,1
75,B,489,1
76,A,573,1
77,A,542,1
78,B,660,1
79,B,546,1
80,A,526,1
81,A,512,1
82,A,500,1
83,B,610,1
84,A,592,1
85,A,602,1
86,A,474,1
87,B,541,1
88,A,529,1
89,A,536,1
90,B,530,1
91,A,484,1
92,A,557,1
93,B,555,1
94,A,562,1
95,B,453,1
96,B,388,1
97,B,618,1
98,A,447,1
99,A,606,1
100,A,551,1
101,A,606,1
102,B,452,1
103,B,453,1
104,A,542,1
105,B,629,1
106,A,553,1
107,A,605,1
108,A,631,1
109,B,498,1
110,A,577,1
111,A,586,1
112,A,537,1
113,A,562,1
114,B,667,1
115,A,577,1
116,A,589,1
117,A,628,1
118,B,559,1
119,A,516,1
120,A,587,1
121,B,472,1
122,A,583,1
123,A,499,1
124,B,395,1
125,A,525,1
126,B,560,1
127,B,464,1
128,A,597,1
129,A,530,1
130,B,533,1
131,B,470,1
132,A,585,1
133,B,426,1
134,A,543,1
135,A,465,1
136,A,599,1
137,B,588,1
138,A,537,1
139,A,486,1
140,A,696,1
141,A,439,1
142,A,487,1
143,B,378,1
144,B,557,1
145,B,508,1
146,B,557,1
147,B,446,1
148,A,542,1
149,B,447,1
150,A,542,1
151,B,420,1
152,A,542,1
153,A,586,1
154,A,485,1
155,B,576,1
156,B,576,1
157,B,609,1
158,A,655,1
159,A,613,1
160,A,499,1
161,B,573,1
162,A,555,1
163,A,475,1
164,B,602,1
165,A,657,1
166,B,583,1
167,A,461,1
168,B,515,1
169,B,572,1
170,A,509,1
171,B,497,1
172,B,424,1
173,B,469,1
174,B,506,1
175,A,511,1
176,A,648,1
177,A,532,1
178,A,493,1
179,B,534,1
180,B,509,1
181,A,516,1
182,B,635,1
183,B,510,1
184,B,531,1
185,B,511,1
186,A,538,1
187,B,519,1
188,A,529,1
189,B,475,1
1,A,551,2
2,B,520,2
3,B,536,2
4,A,557,2
5,A,559,2
6,A,574,2
7,B,535,2
8,B,551,2
9,A,552,2
10,B,530,2
11,A,561,2
12,B,513,2
13,A,551,2
14,B,512,2
15,B,556,2
16,B,536,2
17,A,564,2
18,A,530,2
19,A,551,2
20,A,562,2
21,B,532,2
22,B,520,2
23,A,542,2
24,A,540,2
25,A,563,2
26,B,535,2
27,B,545,2
28,B,551,2
29,A,549,2
30,B,553,2
31,B,555,2
32,B,556,2
33,A,534,2
34,A,545,2
35,B,537,2
36,B,553,2
37,B,549,2
38,B,577,2
39,A,552,2
40,B,560,2
41,A,563,2
42,A,569,2
43,B,552,2
44,B,541,2
45,B,540,2
46,A,554,2
47,A,555,2
48,B,512,2
49,B,548,2
50,A,564,2
51,B,529,2
52,B,537,2
53,B,542,2
54,B,543,2
55,B,549,2
56,A,557,2
57,A,548,2
58,A,546,2
59,B,536,2
60,B,539,2
61,A,541,2
62,A,566,2
63,B,548,2
64,A,545,2
65,A,547,2
66,B,526,2
67,A,566,2
68,A,522,2
69,A,537,2
70,A,544,2
71,A,555,2
72,A,543,2
73,B,559,2
74,A,537,2
75,A,552,2
76,A,551,2
77,B,527,2
78,B,540,2
79,B,553,2
80,A,556,2
81,A,559,2
82,B,538,2
83,B,523,2
84,A,557,2
85,B,552,2
86,B,531,2
87,A,553,2
88,A,555,2
89,B,561,2
90,A,567,2
91,A,538,2
92,A,537,2
93,B,537,2
94,A,554,2
95,A,549,2
96,B,579,2
97,A,555,2
98,B,532,2
99,B,564,2
100,B,564,2
101,B,545,2
102,B,516,2
103,B,559,2
104,B,534,2
105,A,572,2
106,B,528,2
107,A,540,2
108,B,530,2
109,A,555,2
110,B,559,2
111,A,538,2
112,B,521,2
113,B,552,2
114,A,529,2
115,B,575,2
116,B,539,2
117,B,522,2
118,B,542,2
119,B,546,2
120,B,519,2
121,B,530,2
122,B,538,2
123,B,525,2
124,A,567,2
125,B,545,2
126,B,547,2
127,B,547,2
128,A,551,2
129,A,551,2
130,B,544,2
131,A,557,2
132,A,538,2
133,B,539,2
134,A,534,2
135,B,510,2
136,A,560,2
137,A,552,2
138,B,568,2
139,A,548,2
140,B,533,2
141,B,526,2
142,A,557,2
143,A,540,2
144,A,572,2
145,B,568,2
146,A,540,2
147,B,538,2
148,A,554,2
149,A,545,2
150,B,543,2
151,A,554,2
152,A,556,2
153,A,535,2
154,A,562,2
155,A,538,2
156,A,562,2
157,B,551,2
158,A,528,2
159,B,535,2
160,B,522,2
161,A,564,2
162,A,555,2
163,A,538,2
164,B,520,2
165,A,555,2
1,B,547,3
2,B,549,3
3,B,535,3
4,A,540,3
5,B,544,3
6,B,534,3
7,A,550,3
8,B,542,3
9,B,531,3
10,A,544,3
11,A,543,3
12,A,541,3
13,A,542,3
14,B,541,3
15,A,543,3
16,A,545,3
17,A,545,3
18,B,543,3
19,B,538,3
20,A,544,3
21,A,554,3
22,A,550,3
23,A,543,3
24,A,552,3
25,B,533,3
26,B,548,3
27,B,555,3
28,A,549,3
29,A,551,3
30,B,551,3
31,A,543,3
32,B,536,3
33,B,539,3
34,A,549,3
35,A,552,3
36,B,544,3
37,B,532,3
38,B,549,3
39,A,545,3
40,A,556,3
41,B,549,3
42,A,545,3
43,A,546,3
44,B,533,3
45,A,544,3
46,A,543,3
47,A,561,3
48,B,538,3
49,A,548,3
50,A,549,3
51,A,546,3
52,A,552,3
53,B,530,3
54,A,543,3
55,B,538,3
56,B,557,3
57,B,535,3
58,B,537,3
59,B,530,3
60,A,548,3
61,B,543,3
62,A,554,3
63,B,554,3
64,A,546,3
65,B,537,3
66,A,556,3
67,A,555,3
68,B,542,3
69,A,555,3
70,B,541,3
71,B,537,3
72,A,552,3
73,A,549,3
74,A,545,3
75,B,545,3
76,B,548,3
77,A,548,3
78,B,540,3
79,A,547,3
80,B,536,3
81,A,548,3
82,B,544,3
83,B,540,3
84,A,545,3
85,B,537,3
86,B,537,3
87,A,549,3
88,A,551,3
89,B,526,3
90,B,534,3
91,B,534,3
92,A,550,3
93,B,536,3
94,A,552,3
95,A,543,3
96,A,534,3
97,A,549,3
98,A,554,3
99,A,551,3
100,B,537,3
101,B,538,3
102,B,542,3
103,B,546,3
104,A,548,3
105,B,533,3
106,A,557,3
107,A,547,3
108,B,546,3
109,A,547,3
110,A,547,3
111,A,544,3
112,B,551,3
113,B,530,3
114,A,546,3
115,A,555,3
116,B,548,3
117,A,554,3
118,A,546,3
119,B,553,3
120,A,544,3
121,A,547,3
122,A,562,3
123,B,536,3
124,B,557,3
125,A,548,3
126,B,533,3
127,B,545,3
128,B,544,3
129,A,546,3
130,B,549,3
131,B,540,3
132,A,543,3
133,A,548,3
134,B,535,3
135,B,530,3
136,A,560,3
137,A,546,3
138,A,543,3
139,B,543,3
140,A,547,3
141,A,551,3
142,B,537,3
143,A,556,3
144,A,553,3
145,A,553,3
146,B,557,3
147,B,523,3
148,B,529,3
149,A,550,3
150,B,544,3
151,B,532,3
152,B,546,3
153,B,550,3
154,A,552,3
155,B,540,3
156,A,549,3
157,A,543,3
158,A,553,3
159,B,533,3
160,B,531,3
161,A,549,3
162,A,546,3
163,B,540,3
164,B,542,3
165,B,536,3
166,B,536,3
167,A,554,3
168,A,550,3
169,A,544,3
170,B,556,3
171,B,540,3
172,A,556,3
173,B,538,3
174,B,536,3
175,A,552,3
176,B,536,3
177,A,551,3
178,B,547,3
179,B,532,3
180,B,537,3
181,A,550,3
182,A,547,3
183,A,556,3
184,B,544,3
185,A,553,3
186,A,551,3
187,B,534,3
